envelope,epsilon,fit_window_early,fit_window_late,local_slope,rms_envelope,time
0.00024920210726105238,0.0050000000000000001,0,0,-0.21109680947040488,0.0003586073238138478,5025
0.00024850604903750584,0.0050000000000000001,0,0,-0.21575358222560226,0.00035822776129798995,5050
0.00024781457644921389,0.0050000000000000001,0,0,-0.22054221179644173,0.00035784212892615071,5075
0.000247127631392527,0.0050000000000000001,0,0,-0.2254684260516342,0.00035745027424451662,5100
0.00024644515608964758,0.0050000000000000001,0,0,-0.23053833574419968,0.00035705203807599977,5125
0.00024576709323095424,0.0050000000000000001,0,0,-0.23575843058688406,0.00035664725407787655,5150
0.00024509338618700836,0.0050000000000000001,0,0,-0.24113556207953479,0.00035623574833604503,5175
0.00024442397926021839,0.0050000000000000001,0,0,-0.2466769128083115,0.0003558173390185298,5200
0.00024375881794028913,0.0050000000000000001,0,0,-0.25238995314850854,0.00035539183610944165,5225
0.00024309784912664455,0.0050000000000000001,0,0,-0.25828238775375212,0.00035495904124095186,5250
0.00024244102128515574,0.0050000000000000001,0,0,-0.26436209584153403,0.00035451874763473695,5275
0.00024178828451517956,0.0050000000000000001,0,0,-0.27063707104787227,0.00035407074015564684,5300
0.00024113959051492119,0.0050000000000000001,0,0,-0.27711536845004048,0.00035361479546904717,5325
0.00024049489244683172,0.0050000000000000001,0,0,-0.28380506815869921,0.00035315068227947184,5350
0.00023985414471822437,0.0050000000000000001,0,0,-0.29071426654058996,0.00035267816161220548,5375
0.00023921730270371066,0.0050000000000000001,0,0,-0.29785110751856791,0.0003521969870816517,5400
0.00023858432244384489,0.0050000000000000001,0,0,-0.30522386732661744,0.00035170690507154345,5425
0.0002379551603574802,0.0050000000000000001,0,0,-0.31284110638864604,0.00035120765473319342,5450
0.00023732977300339409,0.0050000000000000001,0,0,-0.32071190137128269,0.00035069896769032352,5475
0.00023670811692003019,0.0050000000000000001,0,0,-0.32884616868818739,0.00035018056732418254,5500
0.00023609014856169062,0.0050000000000000001,0,0,-0.33725508747647837,0.00034965216750263095,5525
0.00023547582433665831,0.0050000000000000001,0,0,-0.34595162502500898,0.00034911347061400015,5550
0.00023486510073928926,0.0050000000000000001,0,0,-0.35495116049412445,0.00034856416477352489,5575
0.00023425793455591194,0.0050000000000000001,0,0,-0.36427219327208604,0.00034800392008997849,5600
0.00023365428311501905,0.0050000000000000001,0,0,-0.37393711034087573,0.00034743238391591106,5625
0.00023305410454693831,0.0050000000000000001,0,0,-0.38397297260110008,0.00034684917505957983,5650
0.0002324573580175642,0.0050000000000000001,0,0,-0.39441226356927928,0.00034625387701276323,5675
0.00023186400390480527,0.0050000000000000001,0,0,-0.40529352593478052,0.0003456460303477024,5700
0.00023127400389452441,0.0050000000000000001,0,0,-0.41666179330945852,0.00034502512455837826,5725
0.00023068732098374448,0.0050000000000000001,0,0,-0.4285687078833007,0.00034439058976390544,5750
0.0002301039193912515,0.0050000000000000001,0,0,-0.44107220200316988,0.00034374178884966902,5775
0.00022952376438777034,0.0050000000000000001,0,0,-0.45423561579536909,0.00034307801078588902,5800
0.00022894682206804338,0.0050000000000000001,0,0,-0.46812612738631287,0.00034239846602015367,5825
0.00022837305909411562,0.0050000000000000001,0,0,-0.48281239071502569,0.00034170228497210352,5850
0.00022780244244209225,0.0050000000000000001,0,0,-0.49836131215261048,0.0003409885207422827,5875
0.0002272349391833088,0.0050000000000000001,0,0,-0.51483395444802227,0.00034025615715677191,5900
0.00022667051632554837,0.0050000000000000001,0,0,-0.53228063732979081,0.00033950412317558309,5925
0.00022610914073146354,0.0050000000000000001,0,0,-0.55073540928492548,0.00033873131446649309,5950
