branch_label,kappa,omega,zgv_kappa0,zgv_omega0
selected symmetric ZGV branch,0.82834383895266361,2.8521108740644441,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.83236492554952124,2.8522388836002754,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.83638601214637875,2.8523869860059281,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.84040709874323638,2.8525552898019377,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.84442818534009401,2.8527439041702269,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.84844927193695163,2.8529529389446191,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.85247035853380915,2.8531825046018957,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.85649144513066677,2.8534327122509286,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.8605125317275244,2.8537036736266592,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.86453361832438191,2.8539955010732867,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.86855470492123954,2.8543083075368973,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.87257579151809717,2.8546422065514769,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.87659687811495468,2.8549973122250494,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.88061796471181231,2.8553737392289515,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.88463905130866993,2.8557716027792051,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.88866013790552745,2.856191018624648,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.89268122450238507,2.8566321030304938,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.8967023110992427,2.8570949727570092,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.90072339769610021,2.8575797450496907,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.90474448429295784,2.8580865376126763,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.90876557088981547,2.8586154685950285,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.91278665748667298,2.8591666565679454,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.91680774408353061,2.8597402205032361,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.92082883068038823,2.8603362797529543,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.92484991727724575,2.8609549540257588,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.92887100387410337,2.861596363361389,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.932892090470961,2.8622606281076872,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.93691317706781851,2.8629478688956156,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.94093426366467614,2.8636582066081826,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.94495535026153377,2.8643917623573651,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.94897643685839128,2.8651486574519303,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.95299752345524891,2.8659290133708186,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.95701861005210653,2.8667329517282014,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.96103969664896405,2.8675605942452358,0.80421731937151808,2.8517587749600901
selected symmetric ZGV branch,0.96506078324582167,2.8684120627130949,0.80421731937151808,2.8517587749600901
