angular_anomaly,kx,ky,omega_aniso
-0.00014008993889252138,-0.62889794374852714,-0.77687393051288645,2.8806734337685969
-0.00032537667517221203,-0.55490995036634749,-0.77687393051288645,2.8702911554390158
-0.00029398489534532279,-0.48092195698416773,-0.77687393051288645,2.8633767739009639
-7.0299244871415041e-05,-0.40693396360198808,-0.77687393051288645,2.8591815128301485
-3.0031689846499177e-05,-0.33294597021980843,-0.77687393051288645,2.8569948042137794
0.00011820281345192862,-0.25895797683762878,-0.77687393051288645,2.8561613578737224
0.00014212797483358422,-0.18496998345544913,-0.77687393051288645,2.8561034347420882
0.00018152802059422449,-0.11098199007326948,-0.77687393051288645,2.8563485317554136
0.00020261440882395412,-0.036993996691089714,-0.77687393051288645,2.8565592460157876
0.00020261440891721286,0.036993996691089936,-0.77687393051288645,2.8565592460159084
0.00018152802108183444,0.11098199007326959,-0.77687393051288645,2.8563485317557094
0.00014212797529410473,0.18496998345544924,-0.77687393051288645,2.8561034347424852
0.000118202813354229,0.25895797683762889,-0.77687393051288645,2.8561613578735168
-3.0031689354892421e-05,0.33294597021980854,-0.77687393051288645,2.8569948042138695
-7.0299244761725006e-05,0.40693396360198819,-0.77687393051288645,2.8591815128306455
-0.00029398489533155603,0.48092195698416784,-0.77687393051288645,2.8633767739007925
-0.00032537667517221203,0.55490995036634749,-0.77687393051288645,2.8702911554390158
-0.00014008993889252138,0.62889794374852714,-0.77687393051288645,2.8806734337685969
-0.00016812842769758918,0.70288593713070679,-0.77687393051288645,2.8952955498598647
-7.9141597526444576e-05,0.77687393051288645,-0.77687393051288645,2.9149343987312255
-4.1176047508695302e-05,0.85086192389506632,-0.77687393051288645,2.9403445570413824
1.446509281984509e-05,0.92484991727724575,-0.77687393051288645,2.972217362271337
4.1176048043045643e-05,-0.92484991727724575,-0.70288593713070679,2.9454512367654715
-3.8935678537211152e-05,-0.8508619238950661,-0.70288593713070679,2.9171275110778168
-0.00016812842727215171,-0.77687393051288645,-0.70288593713070679,2.8952955498600947
-0.00017937765418245873,-0.70288593713070679,-0.70288593713070679,2.8791917418420319
-0.0004031452700271887,-0.62889794374852714,-0.70288593713070679,2.8680086280087624
-0.00024829165463143444,-0.55490995036634749,-0.70288593713070679,2.8609272197748621
-0.00024210254109258145,-0.48092195698416773,-0.70288593713070679,2.8571345265294252
-0.00011820281294777635,-0.40693396360198808,-0.70288593713070679,2.8558332724793769
-0.00010528341127681237,-0.33294597021980843,-0.70288593713070679,2.8562513481955665
9.8718188136781571e-05,-0.25895797683762878,-0.70288593713070679,2.8576576220312009
0.00012819341898012704,-0.18496998345544913,-0.70288593713070679,2.8593885605652858
0.00016037127415519103,-0.11098199007326948,-0.70288593713070679,2.8608862862378226
